class,feature,coefficient,direction,feature_type
5,irregular spiculated,-0.47566557029074275,negative,bigram
5,partially,-0.42549984110255207,negative,unigram
5,right breast,-0.37762360221908736,negative,bigram
5,the,-0.34184296513205054,negative,unigram
5,indistinct,-0.33895587894928086,negative,unigram
5,breast no,-0.33702369822722494,negative,bigram
5,papilla skin,-0.32866090229885125,negative,bigram
5,retraction is,-0.32866090229885125,negative,bigram
5,associated no,-0.32866090229885125,negative,bigram
5,papilla sparse,-0.3284642415601907,negative,bigram
5,observed,-0.32820567835422704,negative,unigram
5,densities sparse,-0.32715204074159665,negative,bigram
5,calcifications the,-0.31992020326353926,negative,bigram
6,invasive,2.02521217090609,positive,unigram
6,mammography segmental,1.6038129340389873,positive,bigram
6,microcalcifications intramammary,1.5080491267420728,positive,bigram
6,intervening microcalcifications,1.5080491267420728,positive,bigram
6,segmental pleomorphic,1.3007584498783002,positive,bigram
6,irregular,1.290177766794322,positive,unigram
6,with intervening,1.0849146858919274,positive,bigram
6,enlargement on,1.0843274277307269,positive,bigram
6,invasive breast,1.050024276505856,positive,bigram
6,intervening,1.0272518616953639,positive,unigram
6,segmental,0.9986707937326582,positive,unigram
6,cm located,0.9900657287537803,positive,bigram
6,ductal in,0.9691099889547657,positive,bigram
6,calcifications measuring,0.8940994864265795,positive,bigram
6,ductal,0.825137436176852,positive,unigram
6,of architectural,0.8140967925548094,positive,bigram
6,pleomorphic calcifications,0.8113044509900575,positive,bigram
6,espiculado,0.7997674874637787,positive,unigram
6,biopsied,0.7786491142916026,positive,unigram
6,spiculated,0.746330206401447,positive,unigram
6,no,-0.45520637335475805,negative,unigram
6,calcifications with,-0.4508617328131957,negative,bigram
6,fibroadenoma,-0.4222227061530104,negative,unigram
6,performed with,-0.3999930115016722,negative,bigram
6,region,-0.3994827731921824,negative,unigram
6,circumscribed,-0.38107175749144584,negative,unigram
6,axillary region,-0.37221245850932455,negative,bigram
6,were observed,-0.36938007202809364,negative,bigram
6,changes,-0.3669915000257705,negative,unigram
6,right axillary,-0.3556148264571843,negative,bigram
6,and,-0.3552620238415937,negative,unigram
6,de,-0.3375630659136054,negative,unigram
6,clinical,-0.3370296987209604,negative,unigram
6,observed,-0.33474618863721695,negative,unigram
6,were,-0.33471847002212685,negative,unigram
6,indication,-0.3257582991817436,negative,unigram
6,extension,-0.3238746666044398,negative,unigram
6,lesion,-0.32209821394759724,negative,unigram
6,of fibroadenoma,-0.3170792800650946,negative,bigram
6,region of,-0.3151315659207684,negative,bigram
